transaction_id,user_id,amount,transaction_type,merchant_category,location,device_type,payment_method,hour,is_international,is_new_device,transactions_last_24h,avg_amount_last_30d,account_age_days,distance_from_usual_location_km,failed_transactions_last_24h,label
TXN1000042,U102644,717.07,UPI,food,"Kolkata, WB",desktop,UPI,12,0,0,0,5547.28,1800,17.5,0,0
TXN1000043,U100035,703.47,BANK_TRANSFER,gaming,"Visakhapatnam, AP",mobile,net_banking,16,0,0,1,972.03,1015,11.3,0,0
TXN1000044,U101974,2842.51,UPI,utilities,"Surat, GJ",mobile,debit_card,11,0,1,2,2877.63,1820,5.5,0,0
TXN1000045,U100039,2632.88,POS,shopping,"Coimbatore, TN",desktop,UPI,7,0,0,0,2385.18,792,7.7,0,0
TXN1000046,U100381,8126.25,BANK_TRANSFER,shopping,"Visakhapatnam, AP",mobile,UPI,14,0,0,1,5115.74,66,3.8,1,0
TXN1000047,U103461,2273.51,ONLINE,gaming,"Indore, MP",desktop,UPI,6,0,0,1,1852.06,1037,7.5,0,0
TXN1000048,U101571,2586.44,ONLINE,electronics,"Mumbai, MH",mobile,debit_card,21,1,0,2,811.57,3449,14.1,0,0
TXN1000049,U100098,3949.09,POS,electronics,"Surat, GJ",desktop,debit_card,18,0,0,0,1821.1,2254,2.9,0,0
TXN1000050,U102971,2811.64,ATM,education,"Chennai, TN",mobile,UPI,20,0,0,1,745.18,2854,3.7,0,0
TXN1000051,U103202,644.41,UPI,fuel,"Chennai, TN",mobile,UPI,20,0,0,3,1678.42,2701,7.3,0,0
TXN1000052,U101891,3575.97,ONLINE,insurance,"Surat, GJ",tablet,UPI,10,1,0,2,2342.02,944,28.7,1,0
TXN1000053,U102447,1935.49,POS,fuel,"Chennai, TN",desktop,credit_card,20,1,1,1,2187.89,1260,21.3,0,0
TXN1000054,U102720,1188.33,UPI,gaming,"Jaipur, RJ",desktop,debit_card,8,0,0,0,1330.28,1601,5.7,0,0
TXN1000055,U102549,2068.0,ONLINE,entertainment,"Surat, GJ",desktop,UPI,9,0,0,1,2499.39,857,3.7,0,0
TXN1000056,U101707,1080.47,ONLINE,utilities,"Surat, GJ",mobile,UPI,6,0,0,3,1521.22,3417,851.9,0,0
TXN1000057,U102911,1015.09,UPI,food,"Patna, BR",mobile,UPI,13,0,0,0,3367.86,693,6.1,0,0
TXN1000058,U101815,1401.34,ONLINE,healthcare,"Chandigarh, CH",mobile,UPI,19,0,0,2,1984.5,2199,6.1,4,0
TXN1000059,U100921,1650.87,ONLINE,utilities,"Ahmedabad, GJ",mobile,UPI,18,0,0,1,1468.29,3619,0.5,0,0
TXN1000060,U100014,497.54,POS,utilities,"Kochi, KL",mobile,UPI,18,0,0,3,1133.13,3275,6.1,0,0
TXN1000061,U101241,3671.66,UPI,healthcare,"Hyderabad, TS",mobile,debit_card,15,0,0,2,3219.99,2116,1824.2,0,0
TXN1000062,U100287,6013.67,UPI,travel,"Chennai, TN",mobile,UPI,21,0,0,1,3123.76,1156,2.0,0,0
TXN1000063,U100213,646.33,ONLINE,entertainment,"Guwahati, AS",tablet,UPI,21,0,1,2,1145.96,2875,0.8,0,0
TXN1000064,U101608,1174.57,BANK_TRANSFER,gaming,"Bhopal, MP",mobile,UPI,15,0,0,2,1001.47,89,4.5,0,0
TXN1000065,U103296,1563.92,POS,entertainment,"Kolkata, WB",mobile,credit_card,18,0,0,1,1852.32,653,6.3,0,0
TXN1000066,U100368,1625.64,ONLINE,electronics,"Jaipur, RJ",mobile,net_banking,7,0,0,1,776.85,856,0.6,0,1
TXN1000067,U100960,620.36,UPI,gaming,"Kolkata, WB",mobile,UPI,10,0,0,3,867.67,2413,37.2,0,0
TXN1000068,U102901,3225.98,UPI,insurance,"Hyderabad, TS",desktop,credit_card,21,0,0,1,2077.24,3463,0.8,1,0
TXN1000069,U101375,1428.59,UPI,fuel,"Bhopal, MP",mobile,net_banking,9,0,0,0,5178.15,2581,6.2,2,0
TXN1000070,U102642,5066.82,UPI,utilities,"Indore, MP",mobile,debit_card,4,0,0,1,1048.69,2691,15.2,0,0
TXN1000071,U101874,2047.35,BANK_TRANSFER,shopping,"Patna, BR",mobile,UPI,6,0,0,1,2419.85,1604,1.1,1,0
TXN1000072,U102086,1123.15,POS,groceries,"Ahmedabad, GJ",desktop,net_banking,14,0,1,2,387.95,116,12.2,0,0
TXN1000073,U100573,988.3,ATM,entertainment,"Nagpur, MH",mobile,credit_card,8,0,1,2,2767.23,86,24.4,0,0
TXN1000074,U101217,5064.11,BANK_TRANSFER,electronics,"Nagpur, MH",tablet,UPI,21,0,0,5,1476.5,126,4.9,0,0
TXN1000075,U102143,1058.96,UPI,entertainment,"Pune, MH",mobile,debit_card,21,0,0,1,1828.58,3558,21.9,0,0
TXN1000076,U100095,599.54,UPI,food,"Guwahati, AS",mobile,UPI,7,0,1,3,1698.37,2874,1.6,0,0
TXN1000077,U100677,1507.01,ONLINE,fuel,"Delhi, DL",mobile,UPI,9,0,0,1,2290.37,989,9.0,0,0
TXN1000078,U101329,2999.75,ATM,shopping,"Jaipur, RJ",mobile,net_banking,22,0,0,1,1203.73,1702,18.6,1,0
TXN1000079,U102336,2492.25,UPI,utilities,"Jaipur, RJ",mobile,credit_card,17,0,0,0,1402.79,1146,2.8,0,0
TXN1000080,U101759,12891.87,ONLINE,travel,"Patna, BR",desktop,debit_card,12,0,0,1,1590.0,780,9.3,0,0
TXN1000081,U102491,2230.07,ONLINE,shopping,"Delhi, DL",mobile,debit_card,13,0,0,1,1348.36,1592,0.2,0,0
TXN1000082,U102522,1282.75,POS,shopping,"Coimbatore, TN",mobile,UPI,18,0,1,3,1031.27,2028,4.5,0,0
TXN1000083,U100113,17712.83,ATM,electronics,"Chandigarh, CH",mobile,net_banking,19,0,0,2,5868.93,3315,0.7,0,0
TXN1000084,U103146,7401.27,UPI,healthcare,"Pune, MH",mobile,UPI,21,0,0,1,2014.2,311,1.3,0,0
TXN1000085,U102884,407.24,ONLINE,utilities,"Jaipur, RJ",mobile,UPI,11,0,0,0,785.1,710,12.8,0,0
TXN1000086,U100951,2068.91,UPI,travel,"Bengaluru, KA",mobile,credit_card,10,0,0,0,614.85,979,16.6,1,0
TXN1000087,U101671,1675.71,UPI,education,"Ahmedabad, GJ",mobile,UPI,6,0,0,0,1603.19,1576,29.3,1,0
TXN1000088,U101077,1253.56,POS,utilities,"Visakhapatnam, AP",mobile,credit_card,6,0,0,1,1723.93,1616,12.4,0,0
TXN1000089,U103166,1771.79,BANK_TRANSFER,food,"Chennai, TN",tablet,UPI,20,0,0,1,5960.89,1754,24.8,0,0
TXN1000090,U101316,353.17,ONLINE,fuel,"Chennai, TN",desktop,debit_card,15,1,0,0,810.34,184,8.0,0,0
TXN1000091,U101360,3756.35,ONLINE,gaming,"Nagpur, MH",desktop,credit_card,16,0,0,4,3413.03,1668,1279.5,0,0
TXN1000092,U103186,2079.08,ATM,electronics,"Nagpur, MH",desktop,debit_card,9,0,0,3,1725.11,2114,2.2,0,0
TXN1000093,U102074,4287.75,ONLINE,shopping,"Bhopal, MP",mobile,UPI,19,0,0,4,1990.9,2097,6.0,1,0
TXN1000094,U100476,1895.76,BANK_TRANSFER,shopping,"Lucknow, UP",desktop,debit_card,14,0,0,1,2001.19,1549,5.0,0,0
TXN1000095,U102159,1798.22,BANK_TRANSFER,food,"Guwahati, AS",mobile,UPI,23,0,0,3,1230.89,1732,845.4,0,0
TXN1000096,U102772,2025.12,ONLINE,electronics,"Nagpur, MH",mobile,UPI,21,0,0,1,936.09,875,4.9,0,0
TXN1000097,U101182,1397.85,POS,travel,"Kolkata, WB",desktop,credit_card,18,0,0,1,364.83,3120,1.7,0,0
TXN1000098,U101814,1593.58,UPI,utilities,"Pune, MH",desktop,UPI,22,0,0,1,2647.89,715,5.9,0,0
TXN1000099,U102162,3522.39,UPI,education,"Coimbatore, TN",mobile,UPI,19,0,0,0,1591.75,1605,5.6,0,0
TXN1000100,U101761,3837.48,ONLINE,food,"Chennai, TN",mobile,debit_card,14,0,0,2,6018.57,2251,0.2,0,0
TXN1000101,U103496,1561.85,UPI,groceries,"Bengaluru, KA",mobile,credit_card,18,0,0,3,3864.89,1609,9.6,0,0
TXN1000102,U101751,4577.99,UPI,shopping,"Visakhapatnam, AP",desktop,debit_card,10,0,0,4,2463.4,47,2.8,0,0
TXN1000103,U102222,3697.41,ONLINE,travel,"Guwahati, AS",mobile,UPI,16,0,0,2,1039.14,1190,4.5,0,0
TXN1000104,U102769,2861.24,ONLINE,entertainment,"Visakhapatnam, AP",mobile,debit_card,11,0,0,2,2793.68,1330,13.2,1,0
TXN1000105,U100472,8155.8,POS,shopping,"Patna, BR",tablet,UPI,10,0,0,1,2050.02,1744,13.1,0,0
TXN1000106,U100148,3063.13,ONLINE,healthcare,"Chennai, TN",mobile,credit_card,21,0,0,0,5122.05,857,5.8,0,0
TXN1000107,U103401,639.26,ONLINE,education,"Jaipur, RJ",desktop,UPI,14,0,0,1,413.75,3291,5.6,0,0
TXN1000108,U102544,9056.65,POS,healthcare,"Indore, MP",desktop,debit_card,15,0,0,4,3446.77,2895,2.2,0,0
TXN1000109,U101352,728.71,ATM,electronics,"Mumbai, MH",mobile,debit_card,6,0,0,1,585.79,194,10.4,0,0
TXN1000110,U100063,4023.85,POS,food,"Guwahati, AS",mobile,debit_card,17,0,0,1,1173.15,730,28.4,0,0
TXN1000111,U100590,497.06,ONLINE,food,"Lucknow, UP",mobile,credit_card,22,0,0,2,2250.72,3385,12.4,0,0
TXN1000112,U100037,91.84,UPI,food,"Chandigarh, CH",desktop,debit_card,14,0,0,0,1217.14,726,9.3,0,0
TXN1000113,U101361,1804.66,BANK_TRANSFER,fuel,"Guwahati, AS",desktop,debit_card,11,0,0,2,1217.01,121,0.3,2,0
TXN1000114,U101920,4295.16,UPI,shopping,"Kochi, KL",tablet,net_banking,8,0,0,3,2232.85,2083,1.2,0,0
TXN1000115,U100571,754.49,ONLINE,electronics,"Ahmedabad, GJ",tablet,UPI,17,0,0,0,303.15,975,18.1,0,0
TXN1000116,U102211,16498.57,ATM,gaming,"Mumbai, MH",mobile,debit_card,20,0,0,2,2072.25,2529,23.3,2,0
TXN1000117,U103333,1462.52,ONLINE,groceries,"Hyderabad, TS",mobile,UPI,8,0,0,2,1715.9,1491,1521.2,0,0
TXN1000118,U103468,1580.75,ONLINE,groceries,"Kochi, KL",desktop,credit_card,20,0,0,2,1129.1,1720,18.0,0,0
TXN1000119,U102913,755.89,BANK_TRANSFER,groceries,"Nagpur, MH",desktop,UPI,18,0,0,2,1218.92,1799,2.5,0,0
TXN1000120,U101526,614.37,ONLINE,groceries,"Nagpur, MH",mobile,debit_card,10,0,0,2,3340.93,1790,1.0,0,0
TXN1000121,U101888,1899.35,ATM,education,"Visakhapatnam, AP",desktop,UPI,20,0,0,0,2161.93,2343,0.1,0,0
TXN1000122,U101738,767.53,ATM,food,"Surat, GJ",mobile,UPI,17,0,1,2,1403.04,118,0.7,0,0
TXN1000123,U100553,3137.22,POS,fuel,"Patna, BR",mobile,net_banking,16,0,0,1,2700.93,1013,0.4,0,0
TXN1000124,U102985,2109.94,POS,entertainment,"Bhopal, MP",tablet,UPI,10,1,0,0,1708.9,143,0.9,0,0
TXN1000125,U102341,2767.48,POS,healthcare,"Chennai, TN",mobile,UPI,17,0,0,1,4190.72,2009,14.9,0,0
TXN1000126,U102204,3100.44,UPI,education,"Indore, MP",desktop,debit_card,19,0,0,1,2025.03,2106,2.0,0,0
TXN1000127,U100787,539.95,UPI,education,"Bhopal, MP",mobile,UPI,16,0,0,1,470.67,2254,3.2,0,0
TXN1000128,U100543,5668.59,POS,shopping,"Pune, MH",desktop,net_banking,4,0,0,1,2198.51,1299,11.0,0,0
TXN1000129,U103055,3878.94,ONLINE,electronics,"Hyderabad, TS",tablet,UPI,21,0,0,2,3007.94,472,1.6,0,0
TXN1000130,U100645,7321.25,ONLINE,electronics,"Bhopal, MP",desktop,UPI,9,0,0,1,3444.08,621,5.0,0,0
TXN1000131,U100251,136.66,ATM,groceries,"Indore, MP",mobile,UPI,17,0,0,3,359.7,3533,3.8,0,0
TXN1000132,U102156,1830.6,ONLINE,healthcare,"Chandigarh, CH",desktop,UPI,19,0,0,0,2013.11,2888,28.4,0,0
TXN1000133,U102443,4766.41,UPI,healthcare,"Coimbatore, TN",mobile,debit_card,12,0,1,2,5637.17,2398,11.9,2,0
TXN1000134,U100413,4842.63,POS,healthcare,"Bengaluru, KA",mobile,credit_card,13,0,0,0,2273.12,2107,1.2,0,0
TXN1000135,U100739,1323.56,ONLINE,fuel,"Surat, GJ",mobile,debit_card,17,0,0,1,2836.5,2378,1.2,0,0
TXN1000136,U102752,2006.52,ONLINE,groceries,"Ahmedabad, GJ",mobile,credit_card,19,0,0,0,2733.93,2322,0.8,0,0
TXN1000137,U103243,331.11,ONLINE,groceries,"Jaipur, RJ",mobile,credit_card,18,0,0,3,1083.99,2341,20.7,0,0
TXN1000138,U101642,1358.39,POS,fuel,"Delhi, DL",desktop,UPI,21,0,0,1,2784.67,1021,9.3,0,0
TXN1000139,U102760,3398.92,POS,gaming,"Delhi, DL",mobile,debit_card,18,0,0,5,2731.08,411,8.8,0,0
TXN1000140,U101117,2648.94,UPI,fuel,"Delhi, DL",desktop,UPI,23,0,0,2,2321.04,2070,2.6,0,0
TXN1000141,U102439,4548.13,ATM,electronics,"Chandigarh, CH",desktop,UPI,17,0,1,1,988.11,1033,7.9,0,0
TXN1000142,U101925,2064.6,BANK_TRANSFER,fuel,"Kolkata, WB",mobile,net_banking,12,0,0,0,2300.11,823,1.9,0,0
TXN1000143,U102948,3487.75,ONLINE,entertainment,"Jaipur, RJ",mobile,UPI,23,0,0,3,4154.32,1730,11.1,0,0
TXN1000144,U102704,4839.86,POS,electronics,"Visakhapatnam, AP",mobile,UPI,23,0,0,2,1654.94,2091,0.9,0,0
TXN1000145,U100996,942.7,UPI,food,"Ahmedabad, GJ",mobile,UPI,21,0,0,0,2594.42,885,10.4,0,0
TXN1000146,U100526,431.71,ONLINE,gaming,"Bengaluru, KA",desktop,UPI,18,0,0,0,833.07,2100,3.4,0,0
TXN1000147,U102827,657.36,UPI,utilities,"Delhi, DL",mobile,net_banking,13,0,0,2,1264.08,433,4.8,0,0
TXN1000148,U100118,86.33,UPI,utilities,"Nagpur, MH",mobile,UPI,13,0,0,0,278.69,2759,6.5,0,0
TXN1000149,U102352,76.8,ATM,groceries,"Bengaluru, KA",mobile,net_banking,11,0,0,0,203.3,713,0.3,0,0
TXN1000150,U101637,1982.14,ONLINE,shopping,"Delhi, DL",desktop,net_banking,18,0,0,2,2151.5,2288,7.6,0,0
TXN1000151,U100256,2872.41,ONLINE,healthcare,"Visakhapatnam, AP",tablet,net_banking,10,0,0,1,1086.53,2321,0.1,0,0
TXN1000152,U102391,3159.45,POS,healthcare,"Chandigarh, CH",mobile,UPI,21,0,0,0,1182.69,2004,291.1,0,0
TXN1000153,U101665,846.3,POS,groceries,"Chennai, TN",desktop,UPI,19,0,0,3,3687.68,1175,2.7,0,0
TXN1000154,U103004,13249.63,BANK_TRANSFER,electronics,"Kolkata, WB",desktop,credit_card,15,0,0,0,3244.07,2555,0.1,0,1
TXN1000155,U100746,1516.46,UPI,education,"Guwahati, AS",mobile,UPI,14,0,0,1,872.03,61,6.7,0,0
TXN1000156,U100009,16441.21,UPI,electronics,"Ahmedabad, GJ",desktop,credit_card,14,0,0,4,1657.7,1477,12.5,0,1
TXN1000157,U100444,946.14,ONLINE,shopping,"Kolkata, WB",desktop,net_banking,21,0,0,0,1037.23,2557,0.9,0,0
TXN1000158,U100948,983.27,POS,entertainment,"Guwahati, AS",desktop,debit_card,7,0,0,2,2227.47,205,2.7,2,0
TXN1000159,U102250,1033.69,POS,utilities,"Chennai, TN",mobile,debit_card,13,0,0,0,2094.75,3119,3.7,0,0
TXN1000160,U101251,10126.97,UPI,travel,"Bengaluru, KA",mobile,credit_card,18,0,0,3,3071.7,2887,3.1,0,0
TXN1000161,U100411,672.83,ONLINE,food,"Lucknow, UP",mobile,UPI,17,0,0,1,1396.18,3502,13.9,1,0
TXN1000162,U103438,211.97,ATM,utilities,"Patna, BR",desktop,credit_card,3,0,0,6,991.78,1741,4.2,0,0
TXN1000163,U100379,465.42,UPI,groceries,"Jaipur, RJ",mobile,credit_card,19,0,0,0,2001.57,963,9.4,0,0
TXN1000164,U101228,5236.22,UPI,education,"Guwahati, AS",desktop,credit_card,10,0,0,1,1353.44,1996,7.1,0,0
TXN1000165,U103064,961.88,POS,gaming,"Indore, MP",mobile,debit_card,18,0,0,3,1380.65,2719,13.3,0,0
TXN1000166,U102252,530.69,UPI,food,"Kochi, KL",mobile,UPI,17,0,0,2,1869.13,60,0.5,0,0
TXN1000167,U101119,511.73,ONLINE,travel,"Kochi, KL",desktop,debit_card,19,0,0,4,289.41,1292,5.3,0,0
TXN1000168,U103394,2006.38,UPI,insurance,"Nagpur, MH",mobile,UPI,8,0,0,1,1561.9,3485,693.7,0,0
TXN1000169,U101732,2729.58,ONLINE,healthcare,"Pune, MH",tablet,net_banking,19,0,0,2,2005.41,1633,50.9,1,0
TXN1000170,U100032,16067.52,POS,gaming,"Jaipur, RJ",tablet,UPI,3,0,0,1,1375.69,3277,0.0,0,0
TXN1000171,U100023,15002.03,UPI,electronics,"Surat, GJ",tablet,UPI,13,0,0,0,2548.24,2409,7.5,0,0
TXN1000172,U103282,7084.82,ONLINE,insurance,"Lucknow, UP",desktop,debit_card,14,0,0,1,3317.45,1307,5.1,0,0
TXN1000173,U100987,1109.17,UPI,utilities,"Surat, GJ",mobile,UPI,12,0,0,1,2577.75,914,5.8,0,0
TXN1000174,U102843,4801.62,ONLINE,travel,"Bengaluru, KA",mobile,debit_card,23,0,0,2,1473.05,727,7.3,0,0
TXN1000175,U100147,772.79,ONLINE,fuel,"Surat, GJ",desktop,net_banking,21,1,0,0,1674.95,2595,12.5,0,0
TXN1000176,U100517,742.72,ATM,utilities,"Surat, GJ",mobile,credit_card,6,0,0,0,1580.79,2389,2.5,0,0
TXN1000177,U102993,1631.77,UPI,gaming,"Mumbai, MH",mobile,UPI,12,0,0,2,902.43,1318,25.6,0,0
TXN1000178,U103481,381.52,POS,fuel,"Chandigarh, CH",mobile,UPI,16,0,0,1,626.51,440,1.6,0,0
TXN1000179,U100173,784.3,BANK_TRANSFER,groceries,"Kochi, KL",tablet,UPI,23,0,0,2,1815.23,439,3.4,1,0
TXN1000180,U100593,242.09,ONLINE,utilities,"Patna, BR",mobile,UPI,15,0,0,0,647.57,1840,1124.3,0,0
TXN1000181,U102504,1874.47,ONLINE,utilities,"Chandigarh, CH",mobile,UPI,20,0,0,1,1830.08,990,1.4,0,0
TXN1000182,U101825,27140.68,POS,education,"Visakhapatnam, AP",desktop,credit_card,16,0,0,3,5703.41,2660,1.2,0,0
TXN1000183,U101387,5206.41,POS,insurance,"Coimbatore, TN",mobile,UPI,18,0,0,1,1227.39,1408,5.2,0,0
TXN1000184,U100695,4810.03,ONLINE,healthcare,"Nagpur, MH",desktop,UPI,19,0,0,1,4349.22,423,9.7,0,0
TXN1000185,U103301,6388.5,BANK_TRANSFER,insurance,"Patna, BR",mobile,UPI,9,0,0,1,2830.84,560,3.6,0,0
TXN1000186,U100613,4949.78,ONLINE,healthcare,"Visakhapatnam, AP",mobile,UPI,17,0,0,0,2749.56,3098,1.2,0,0
TXN1000187,U100937,2034.65,POS,gaming,"Guwahati, AS",desktop,debit_card,20,0,1,1,1832.21,1875,0.6,0,0
TXN1000188,U101135,655.45,ONLINE,utilities,"Pune, MH",desktop,debit_card,14,0,0,6,3907.42,3569,0.5,0,1
TXN1000189,U100479,1677.4,UPI,healthcare,"Lucknow, UP",tablet,credit_card,21,0,0,1,894.49,3214,12.2,0,0
TXN1000190,U101847,1497.92,UPI,utilities,"Chennai, TN",mobile,credit_card,11,0,0,1,2317.8,3447,2.5,0,0
TXN1000191,U101189,506.12,ATM,food,"Kolkata, WB",mobile,UPI,11,0,0,1,941.29,2687,6.7,0,0
TXN1000192,U102098,2017.98,ATM,insurance,"Mumbai, MH",mobile,UPI,17,0,0,5,1138.46,1900,21.1,0,0
TXN1000193,U101268,3408.2,ONLINE,education,"Pune, MH",mobile,UPI,20,0,0,1,1960.65,1607,9.3,0,0
TXN1000194,U100407,3595.95,ONLINE,entertainment,"Lucknow, UP",mobile,debit_card,18,0,0,1,1729.13,1985,4.8,0,0
TXN1000195,U103054,9613.77,UPI,travel,"Surat, GJ",desktop,UPI,22,0,0,2,3494.2,413,13.7,0,0
TXN1000196,U101759,1424.83,ONLINE,education,"Patna, BR",desktop,UPI,9,0,0,4,1654.36,780,0.0,0,0
TXN1000197,U101127,273.81,UPI,utilities,"Hyderabad, TS",mobile,debit_card,23,0,0,0,1271.78,2322,5.1,0,0
TXN1000198,U100059,972.05,BANK_TRANSFER,shopping,"Chandigarh, CH",mobile,UPI,18,0,0,1,996.75,1116,16.0,0,0
TXN1000199,U102062,878.01,ONLINE,healthcare,"Ahmedabad, GJ",desktop,UPI,16,1,0,1,1221.75,2243,22.9,0,0
TXN1000200,U102726,1647.04,UPI,entertainment,"Chennai, TN",mobile,UPI,11,0,0,2,3023.68,2021,2.5,0,0
TXN1000201,U102244,2996.06,UPI,electronics,"Ahmedabad, GJ",mobile,debit_card,13,0,0,0,1001.72,2842,5.2,0,0
TXN1000202,U102749,620.87,ONLINE,education,"Mumbai, MH",mobile,credit_card,11,0,0,1,527.24,1921,10.8,0,0
TXN1000203,U100550,1058.94,UPI,utilities,"Visakhapatnam, AP",desktop,UPI,21,0,0,3,4075.76,160,13.1,0,0
TXN1000204,U103397,788.7,UPI,utilities,"Chennai, TN",desktop,debit_card,22,1,0,1,1951.4,651,5.1,0,0
TXN1000205,U100756,1620.54,ATM,utilities,"Bengaluru, KA",mobile,UPI,20,0,0,1,3172.08,2983,606.2,0,1
TXN1000206,U100940,544.13,UPI,insurance,"Lucknow, UP",mobile,net_banking,17,0,0,3,373.22,937,4.3,1,0
